moment,label
I won $500 at a raffle at work,achievement
I talked to my dad and my dog on the phone,affection
"While leaving work today,  I ran into an old friend whom I'd not seen in years.",bonding
"On the last day of a class, the teacher had a little graduation ceremony with diplomas and cake and the couple sentences he said about me made me tear up because he was recognizing something nice I did rather than my overall performance.",achievement
I watched the film Forrest Gump and that film helped me let go of certain disfunctional beliefs I had. ,leisure
My son used his potty chair for the first time!,affection
My five year old son lost his first tooth.,affection
I made a granola cereal for breakfast with cut up bananas and a pinch of sugar on top and had time to sit down and eat it with my husband. ,affection
"My family (parents and siblings) threw me a surprise birthday party, which was very delightful and heartwarming.",affection
I received a phone call from my ex-girlfriend saying she wanted to get back together.,affection
I finished a video game and I beat the final boss.,achievement
"My wife told me that despite my having lost overtime hours, she is happy to have me around her more.  ",affection
yesterday we went to queen bar. we really enjoyed after a long time.,leisure
I saw my daughter perform in a ballet.,affection
I exercised at morning,exercise
I enjoyed going to see my girlfriend in NYC for the weekend,affection
I got to go to lunch with my wife and daughter and it was paid for.,affection
I proposed to my crush. She said 'Yes'.,affection
My boss gave me a discretionary bonus of $1500 for my efforts to be a leader within our region/district.,achievement
An event that made me happy was when all of my family gathered together for Easter.,affection
"Watched the tv show into the badlands yesterday, had been waiting for the second season to come out for a long time, such a great show.",leisure
I took my dog to get groomed.,affection
we went shopping for food,leisure
I got to sleep in today.,leisure
 PAKUPALI MOVIES MY FAMILY ON DAY ,affection
Getting the perfect part time job to keep my resume active and also help support my family.,achievement
my family got a new puppy,affection
I came home and my mom had made my favorite type of pizza to celebrate my good work at my job.,affection
I watched a particularly compelling episode of a show that I enjoy on Netflix.,leisure
Me and my girlfriend bought a new dog.,affection
I got a text some someone saying they had been thinking about me and hoped I was doing well.,affection
booking our room for vacation. ,leisure
I had a pretty in depth conversation with a friend about a topic I heavily interested in.,bonding
I made myself a really good roast beef sandwich for lunch.,leisure
"When my little cousin graduated from the Marines bootcamp. I, myself am in the military, so having him graduate and complete such a demanding few months to become a Marine made me very proud and happy for him. To be able to serve aside him. ",affection
I streamed a movie online.,leisure
I bought a new car ,achievement
I had a wonderful birthday dinner.,enjoy_the_moment
"I drank my cup of coffee early this morning without being interrupted, which is a rare event.",achievement
My son's birthday is today and I woke him up with a big breakfast. He was so happy and excited (he loves food!) he made my heart soar. It really is the simple things.,affection
Finally got a really good job.,achievement
I made a steak and ate it for dinner. ,leisure
As my son finished his exams we went to a hill temple situated next to our town which brought us happy and mental relaxation.,affection
I AM GOING TO THEATER WITH MY FAMILY MEMBERS ITS A  VERY HAPPINESS IN MY LIFE,affection
"It's never about the place. It's about the people you spend time with. I have never been much happier. Whenever I went to Tirupati and was traveling back to Bangalore, I felt like I had failed my most important exam, maybe I was missing a train. I cried like a small baby every time I left that place. This time it was different, this time I was happy. I was myself, my true self. Peace!",enjoy_the_moment
I stocked up on my favorite cheese at a great price.,enjoy_the_moment
"Today, I sat facing my four month old son and every time I made eye contact with him, he smiled and started kicking his legs wildly.",affection
My fiance made me a pair of crown headphones.,affection
My friend needed a certain baby carrier and was able to locate her one that was not only cute but affordable. The baby carrier itself was over $100 and this one was a fraction of the price. She was thrilled.,bonding
Today the ensemble that I teach completed the first run of our first tune on the field.  ,achievement
"My husband got a raise today of over $5,000 a year from his job company.",achievement
I think it's time to be happy again.,enjoy_the_moment
"WHEN MY SISTERS FIRS CHILD WAS BORN, AND THE NURSE SHOW HIM TO ME. I CAN NOT DESCRIBE WHAT I FELT, BUT IT WAS UNFORGETTABLE. BIRTH OF MY SISTERS FIRST BORN AND HOLDING HIM FOR THE FIRST TIME!",affection
I got a job offer from a competitive program on the other side of the world. ,achievement
yesterday morning my sister's second daughter born i am very happy to gave this child by god,affection
My boyfriend bought me dinner from my favorite restaurant. ,affection
"Before leaving the office today, we were informed, to my surprise, that we will be allowed to work at home tomorrow, giving me an extra thirty plus minutes of sleep.",enjoy_the_moment
I went for a walk in a scenic part of town. ,leisure
Sharing my time with my baby makes me happy.,affection
"I watched my best friends two dogs, and woke up with both of them laying on me",bonding
An event that made me happy in the past 24 hours was listening to a coworker that was retiring and hearing how she enjoyed her job.,enjoy_the_moment
Got considered for an art grant interview that went well.,achievement
"Recently I received very good grades in my classes, this was good timing as they were the last classes I needed to attend before my graduation date. ",achievement
I received a treat from my client for the good work done for a major assignment. I felt so happy dining out with my client.,achievement
I purchased a trailer to put a tiny house on.,achievement
Spent an hour watching videos on home renovations.,leisure
I got to hear about my coworker's trip to mexico where they had a lot of fun.,bonding
I prepared fried rice for my son and loved it,affection
Met my friend last evening after a long time with his kid and family and I invited him to join us for dinner one day made me happy that unexpected meeting made us talk more about the past.,bonding
Walking my dog,affection
It made me happy when I looked at the mirror and noticed I'm losing weight. I have been dieting for a while and today when I woke up I looked at the mirror and noticed I'm slimming down.,achievement
I picked up my gift for my mother for mother's day.,affection
I ate dinner with my favorite person.,affection
I got for wheeler driving licence.,achievement
When I was called into my bosses office and was told I would be getting a raise. I could use the money so it made me very happy.,achievement
"My dad presented me a new smart phone surprisingly on my birthday I was so excited. I can't forget that day in my life, that was my first surprise given by my dad.",affection
My dog had a good today. He's getting on the old side and can be temperamental. Our walk was very relaxed and he did not limp or slowed down. ,affection
One event that has made me very happy in the past 3 months is my 2 year old son finally telling me that he loves me. This is continuous so he says it over and over every day now and gives me extra big hugs and kisses to go along with it!,affection
"the emotion of happiness intensifies when it is shared with more people.As the news that I have done a great job at work spreads to my colleagues,friends and parents,they all feel proud of me,which makes me more joyful.Unlike this widespread happiness shared with the people around me,I can only share my happiness with a small group of friends,which limits my feeling of happiness.",bonding
MY BROTHER'S EVERY BIRTHDAY TILL WE CELEBRATED WITH HIS FAMILY AND FRIENDS. FOR THE FIRST TIME CELEBRATED WITH OLD AGE MEMORABLE DAY OF MY LIFE TILL NOW.,affection
"A few days ago, I went to a middle school orchestra performance that my niece was a part of. During the performance, a very young child randomly started dancing to the music. I found it quite humorous.",enjoy_the_moment
I made a woman that I like extremely happy.,affection
i went to a produce store and got a great deal on strawberries.,achievement
i went to my sister home to celebrate their marriage day.we all took photo,affection
Yesterday i went to my friends house warming party and i was very happy to see all of my old friends.,bonding
When I won on a scratch off ticket and won $50.,achievement
Just last night when I least expected it my husband surprised me with an upcoming trip to Vermont.,affection
i stay with my wife and son after a very long time my parents had visted us last month for 2 days it made me really happy as i was able to spend time with them had long chats had fun activities at home as a family.,affection
My happiest moment everyday my mom say bye to me when i get ready to go somewhere.,affection
I've lost 10 pounds in the last week!,achievement
I took my parents out to eat.,affection
I met my best friend after a month.,bonding
My knee stopped hurting. ,achievement
Preparing and eating some delicious beef cuisine.,enjoy_the_moment
Receiving a credit line increase with 1 of my visa credit cards.,achievement
I just found out about a going away party for a close friend of mine.,bonding
HAPPY EVENT IN MY LIFE MY FRIEND BIRTHDAY PARTY CELEBRATION VERY ENJOY AND HAPPINESS,bonding
My girls really connected on vacation and got along better than they ever have!,affection
I watched the national championship basketball game last night with friends that I haven't seen in a while.,bonding
"Yesterday, me and my dad went shopping and purchased more dress for me.",affection
"I saw the film ""Zootopia.""",leisure
I was offered a new job that was exactly what I wanted to do.,achievement
I met my best friend after a month.,bonding
I switched over from working nights to working days.,achievement
I WAS VERY HAPPY THAT SOMEONE WHO OWED ME MONEY PAID ME BACK LAST NIGHT. ,enjoy_the_moment
I helped my wife finish collating her Amazon baby registry.,affection
My wife and son had a lot of luggage to bring back home.  I only have a honda civic and I was not sure if I would be able fit all the luggage in my car.  But luckily I was able to fit all of them and we were able to come  home safely.,affection
"I gout out of the hospital, healthy.",achievement
I was happy to make anniversary plans with my husband today.,affection
I got to play a video game with one of my best friends. ,bonding
I felt very happy when I got to spend the day outside on a sunny day walking my dog.,affection
"A pork burrito with sour cream, beans, rice , and salsa made me happy yesterday",enjoy_the_moment
I played video games,leisure
I signed up for Swagbucks and through their offers I made $42.,achievement
My girlfriend and I went to a place that sells fresh fruit and got a bunch.,affection
"Received an email, that my oldest son got accepted for the morning session class for free.",affection
I finished a project I was knitting and it turned out very well.,achievement
Writing what makes me happy has forced me to focus on the better aspect of my life.,enjoy_the_moment
Lots of people received their masters qualification today on mturk and I am happy for them.,achievement
My girlfriend and I went on a getaway weekend for an anniversary.  ,affection
My daughter slept through the night for the second time since being born!,affection
My cat rubbed my cheek with her pay and then kissed me on the nose.,affection
Finished cleaning a part of my house.,achievement
my memorable day is my school days. i enjoy a lot with my school friend 9and 10class ..we sat in last bench. we dnt no ay abt subject i always be failed in all exams.bt last time in 10th I am passed .so surprise for me. so i finally passed....,bonding
I found out that my class will start in the second half of the summer. ,enjoy_the_moment
I was happy when I was able to settle a debt that has been hanging over my head for sometime.  I was able to make a call and strike a deal that actually lowered my debt.  This made me really happy because I will be free from my debt and I got it for a lower price.,achievement
I finished up a week-long project today.,achievement
I went out to the bar with a good group of friends and had good conversation and laughs. ,bonding
I weighed myself this morning and saw that I lost 3 pounds from last week,achievement
When I talked to my parents,affection
I won $4 dollars on a lottery scratch ticket.,achievement
I had less anxiety today about starting graduate school this May. I feel I am slowly overcoming this anxiety. ,achievement
"I'm going through a rough time in my life now, I was surfing youtube and found a lady reading tarot cards for Pisces(my sign), her voice and her outlook was positive so it made me happy.",enjoy_the_moment
My friend shared a funny video to me.,bonding
I found a book that I had boxed up a long time ago that I needed to return to my administration.,achievement
I spent the day with my husband ,affection
Me and a friend went to dinner last night and caught up on life and events. It's great to have someone to share your life experiences with.,bonding
Bought a New Mobile,achievement
It made me very happy to visit my aunt on the beach.,affection
I went to see my parents. They were really happy to see me.,affection
"I was playing video games today, it was rather enjoyable",leisure
When my brother going to America last night,affection
I got my bills paid. ,achievement
One of the stocks I invest in had a really good day and went up over 20%!,achievement
My best friend told me she loved me like family.,bonding
I got a lunch free lunch at the cafeteria.,enjoy_the_moment
I was happy when the season finale of my favorite show was on.,enjoy_the_moment
I WENT TO MOVIE,leisure
"My big brother give a golden watch on my birthday as gift its a first gift from him, thats why its a happiest event for me.",affection
I went to Beach with family members and enjoyed lot.,affection
My dad got invited to the state lottery celebration and he took me.,affection
A old of friend of mine came down and visited me. We had a great time catching up and enjoying the sites around my town. Even though it was a short period it was nice to see her.,bonding
My sister-in law came to my place after very long time.,affection
I finally submitted an application that I've been working on for the past 4 months!!,achievement
The first cup of french pressed coffee I had this morning.,enjoy_the_moment
I Went To My Friend Marriage. I Was So Happy. I Met My Old Friends. MY Friend Marriage was very formally  interesting and lot of funnies.,bonding
I watched Breaking Bad.,leisure
I WENT TO MOVIE,leisure
When my nephew returned from school and ran to hug me.,affection
MY SISTER IN LAW GAVE BIRTH TO BABY GIRL. THE BABY WAS VERY CUTE. I TOUCHED HER LEG AND HAND FINGERS. THAT ME MADE FEEL VERY HAPPY.,affection
I bought my wife a new purse and earrings.,affection
When I completed a dungeon level in a video game I was playing.,leisure
I WENT TO MOVIE,leisure
Yesterday was my niche 1st birthday.,affection
"I watched the little girl I babysit and my 3 youngest running around before school, being active, using pretend play and giggling. ",affection
"I gave my living room a very good, much needed, cleaning.",achievement
My mother called me today with some great news.,affection
I moved to my new city a month ago.,achievement
Went to a comedy show.,leisure
A long lost cousin contacted me on facebook. I though I was never going to hear from him again.,affection
I was selected as the head of the department and given managerial roles because of my recent performances.,achievement
My wife mentioned to me that she signed up for us to foster a rescue puppy that needs care.,affection
"my uncle funeral because he is no longer suffering
",affection
I got to use my new coffee mug that I think is really cute.,enjoy_the_moment
My daughter passed her six month developmental screening. ,affection
I hugged my ladyfriend.,affection
Chowder soup was available for lunch and it tasted good.  ,enjoy_the_moment
My husband and I went on a hike with our son and saw beautiful scenery. ,affection
I found the insurance papers I had been looking for this morning.,achievement
My daughter asked me to go with her for a pedicure.,affection
My friend's daughter arrived in town to help her with her oncology appointment.,bonding
My friends asked me to meet up with them this afternoon for drinks.,bonding
Purchased a Air Cooler for my office to work with a cool mind.,achievement
I found my first Gameboy and games,leisure
"
Recently My sister came to India to Visit us. But For a quite while even before she visiting us, she has been suffering with few pains in her wrist. Initially she thought it was just due to workload. So When She came to India, she consulted our family Doctor . He reported after few scanning that she has Giant Bone Tumor in her hand and Some Organisms have already eaten some part of her bone. So we quickly without any further delay Planned for Operation in which some part of Necessary Bone from leg will be taken and that part will be fixed in hand after removing the tumor she had. Later they thought fixing it with artificial Bone. On the day of Operation,We all family members were waiting outside while her operation was going on. Then Came Doctor and Said they needed Blood ( B+) because of the blood loss she had during operation it was making her hard to breath. I and along with My sister's Brother-in-law Rushed to Blood Bank, I decided to be the Donor , But they initially needed to check my Blood group and all that safety measures which took around 20 Minutes and They Needed Blood Soon and I Quickly Started pumping my Blood Out and Finally Reached the hospital and handed over it to them and the Operation took Place Successfully.
Don't Know why but that feeling which I Experienced while Traveling to hospital with my Blood in my Hands to my sister in need of it and tears were rolling threw my eyes is the best feeling I ever Experienced in life.
",affection
I called off work at my Part Time job because I am working to many hours during the week between my 40 hours and the part time job.  I wanted to spend the night playing with my 17 month old baby.  I had the time of my life playing with him all night. It made a perfect night and allowed me to spend quality time with him and actually feel like his dad.,affection
"I found out a friend was out of the hospital after emergency surgery.
",bonding
INDIA WON THE SERIES AGAINST AUSTRALIA MADE ME TO FEEL HAPPY,enjoy_the_moment
MY BEST FRIEND BIRTHDAY PARTY,bonding
"Earlier today I got a new pack of Juicy Fruit Gum, which is my favorite type of gum.",enjoy_the_moment
Walking around and shopping at the mall with my sister.,affection
I got cute pictures of my children. ,affection
My brother sent me pictures of the adorable Labrador Retriever he just adopted. ,affection
I WENT TO MOVIE,leisure
I finally mopped my kitchen,achievement
My elder sister called me last night that she is planning to buy a car for me and she was asking which model you have to buy. I was too happy that God not only giving me house but also a car.,affection
My nephew was born,affection
I was promoted by the manager and they said nice things about me to others.,achievement
The summer has started and the borewells are dry and people find it hard to get water . Luckily our surrounding areas were supplied water by the local body after a long week which made everyone of us happy.,enjoy_the_moment
I attended my students graduation ceremony for the first time.,bonding
"Every month, I host breakfast with 10 employees from different levels and functions in our company a from creative to business development to data science to marketing; it's always a unique and fun mix. A chance for talent from different functions to hear what their colleagues are up to, and a chance for us to get to know each other a little better. Good people enjoying some breakfast together.",bonding
I discussed the movie with my kids.,affection
I spoke to my niece for the first time in a few weeks and was able to catch up with her.,affection
I had fun going on a date with my wife out to dinner and then shopping while our kids were babysat.,affection
My friend move back home from college 2 months ago. Living in a small town is boring when you don't have anyone to hangout with. Since then i got use doing things solo. Thats change now. He's also my neighbor so i can just walk over  and play video games whenever. After going to college and getting a job i almost forgot how fun its was to just sit at home and relax. So we play games and drink into night. i was happy thinking how everything change but was still good in the long run.,bonding
"it is funny how big of an impact she have on me. it's been a
year i thought im already over with her, but im wrong.so wrong.",bonding
I really like event. It's like free time to knowing new things. I like knowing variety of people all over the world. So l like any things about different type of people. Today I was invited to a drug addiction event. I was very excited about this event. After this event I feel very happy.,enjoy_the_moment
"Completed major renovations, which were being put off for a year, on my house.",achievement
I watched a good movie last night before going to bed. ,leisure
I got a raise at work in celebration of my one year anniversary.,achievement
We were watching a nature program and I found out that manatees are no longer on the endangered species list. ,nature
Last month I went to a vacation with family to Miami. We had a great time there. We enjoyed a lot and it was one of the best experience. I enjoyed a lot as well as kids enjoyed a lot.,affection
"When somebody compliments me sincerely on my work, I felt proud and successful.",achievement
"I interviewed for a high paying job.  I was very nervous since there were 3 rounds of the interviews and the final one was a very technical tough coding  challenge round.  Much to my surprise, I performed very well and when I heard from the interviewer that he would talk to the hiring manager and inform him that interview went very well it was like music to my ears. ",achievement
I watched the Cleveland Cavaliers win the Eastern Conference by defeating the Boston Celtics.  ,leisure
"I played cards game after a long time with my son, and we had a fun time together",affection
I beat my doubled goal from yesterday's work goal today.,achievement
Getting confirmation that my friend will be attending an event with me.,bonding
i bought a new car daston go car its very powerful and have good milage i am very happy,achievement
I fixed a plumbing problem in my house.,achievement
The new season of Kimmy is on Netflix,leisure
I went to a wine tasting with my girlfriends.,bonding
My Mom sent me a picture of my estranged brother and father hanging out together.,affection
i went food shopping and got lots of great food,leisure
Before 3 months i got married and it was one of the happiest moment in my life as i got a lifetime companion.,affection
Realizing that I had paid vacation time accumulated at work that I didnt know about,enjoy_the_moment
About a month ago I took a pregnancy test and it was positive after almost a year of trying. ,achievement
I went out to dinner tonight.,leisure
"I got to take a nap yesterday, and I woke up feeling refreshed.",enjoy_the_moment
I WENT TO MOVIE,leisure
"um...stopping Person from committing suicide then having a 3 hour conversation about life... 

he asked me out the next day which was cool!turned out we both really liked each other. 

I really love to make people happy!",affection
I lost 15 pounds in the last 3 months and that makes me happy.,achievement
I spoke with an old friend on the phone for an hour.,bonding
I had some Taco Bell. I try not to eat out all that much but hey sometimes other people in the house are like let's get tacos and you can't say no to them. Especially when Taco Bell is your favorite place to eat.,enjoy_the_moment
"When my Sister's first child was born, and the nurse show him to me. I can not describe what I felt, but it was unforgettable . Birth of my Sister's first born and holding him for the first time!
",affection
An event that me happy was seeing an angel shaped cloud in the sky. The reason this made me happy is because my mother recently passed away and I feel this is a sign from her. :),affection
My boss told me thanks for helping on a closing at work and that made me happy.,achievement
"about a month ago, I got in touch with an old friend I had not seen or heard from in years, and we spent hours online talking and catching up with one another's life and happenings",bonding
Had delicious domino's pizza after so long time,enjoy_the_moment
I planned a trip to Disney World with my daughters and my grandchildren.,affection
I ate a fancy dinner. ,enjoy_the_moment
I went and had dinner with my grandmother.,affection
I felt happy when I watched my husband read to my son.,affection
I have build a small house in our life. this month book the house builder.,achievement
I have done a great work after a long time like craft making. i am very happy about that.,achievement
I got to see a friend I had not seen in a few weeks. ,bonding
I was able to make some time to work on a web design project.,achievement
I went out to dinner with my kids after work.,affection
"I bought a new car for my new job, a 2014 Ford Focus.",achievement
Receiving a MacBook Pro after using a slow laptop for the past 6 years.,achievement
I WENT TO MOVIE,leisure
My husband woke me up with a steaming hot mug of homemade coffee and a croissant so I could start the day in a happy mood.,affection
I ate a nice meal.,enjoy_the_moment
I bought a new game Darksouls 3.,achievement
My girlfriend got a job,achievement
My grocery store has a ten day sale on yogurt and as it's the only food I can eat that is fun it makes me insanely happy to be able to buy many.,enjoy_the_moment
The realization that there are only three weeks left until I graduate college.,achievement
Grabbing dinner with some friends and catching up last night. ,bonding
"A great friend of mine was told by his doctors tow weeks ago that he is cancer free.  I am so happy for him, his wife and his family.  ",bonding
"MY HAPPINESS MOMENT YESTERDAY,BECAUSE I WAS  ATTENDED MY RELATIVE FUNCTION. I LIKE THIS DURATION.",enjoy_the_moment
I went to Disneyland.,leisure
I booked tickets for a trip to Greece with a group of friends. ,bonding
A Krispy kreme finally opened around me.,enjoy_the_moment
"I was having lunch with my family. Since my childhood we have a pattern in our home, first everybody at our home has lunch while my mother serves and while we are on our last Roti she too joins with her plate.I was little extra hungry. She had just joined with her plate along with my sister. I asked her for Roti. She said aWait I am making one for youa and she left her seat.I held her hand and said, aMumma! I am in some cooking mood. You have food, I will make a roti for mea. She said, aWhy will you work in kitchen while I am here?aI said, aI want to make a rotia and I left my seat. Sister popped up saying, have this roti from mummyas plate, complete your lunch and then make a roti for mumma.aI said, well! You are falling for a dangerous act.Hahahahah.a I completed my lunch and started with roti, This was it! Previously I have cooked many times, but only for me. This was the first time I cooked for mother.I made a roti and served it to mother. She made 3 parts of it, one for my sister, one for my father and one for herself. They all had their parts and I was observing them with suspense about comments.Sister chuckled, Your wife is lucky, you can feed her deliciously. Father giggled, Your Gf must have said you to learn cooking this morning.Mother was little emotional, she said, My son has grown up. Roti is sweet! She was happy. Everyone was happy.It made me happy.",affection
"Seeing my mother after 4 months.She was in Canada/Cuba for 4 months and as much as we talked, I missed her presence. It was really empty because I am used to her being here all the time and this was the only period of my life when I was separated from her that long. Just seeing her at the airport after those 4 months and hugging her was the happiest moment in my life. ",affection
Wrestlemania is tonight and I have been looking forward to watching it.,leisure
My daughter had a signing performance last week.  She's 11 and had to dress up for this performance.  She was the most beautiful one on stage and did great.  Seeing her perform made me happy.,affection
"My parents used to take us out for dinner every Sunday night for dinner (and ice cream, sometimes, if it was summer). Both parents worked, so we didn't often do family meals during the week. We would talk, play games (mostly educational trivia), and enjoy each other's company.

Also, my dad would take us to the diner every Saturday morning to give my mom some ""alone"" time, and give us one-on-one (or two-on-one, or three-on-one, depending on my siblings schedules) time with him.",affection
i go to old age home and service enjoy the moment.,enjoy_the_moment
Finally getting a connecting flight from Dallas to my home after a five-hour delay.,achievement
"I always think of each night as a song. Or each moment as a song. But now I'm seeing we don't live in a single song. We move from song to song, from lyric to lyric, from chord to chord.",enjoy_the_moment
I received payment for a $40 survey that I completed.,achievement
I watched my normally shy and awkward son perform in his school's talent show.,affection
My 13 month old daughter ran up to me last night and gave me a huge hug and kiss just out of the blue.,affection
Talked to my boss about getting a promotion and it sounds promising.,achievement
I had pizza (my favorite food) for dinner tonight to celebrate my promotion at work.,achievement
I WENT TO WATCH MOVIE ON THEATER WITH MY COLLEGE FRIENDS BECAUSE I LOVE WATCH MOVIE ON THEATER.,bonding
I ate a milkshake. ,enjoy_the_moment
"My husband has been trying to lose weight for a while. He was stuck at the same weight for 3 days and was getting depressed. This morning he told me that he finally had dropped another pound. That made me happy because since I am the one that is controlling his diet, I knew I was doing something right.",affection
I met one of my best friend after long 20 years.,bonding
"We have been having temperatures in the 90's, but I have been very happy that at least in the mornings it has been 60-70 degrees.",nature
I adopted a new kitten from my local shelter,affection
"A woman that i used to date paid me back a large sum of money that she had owed me for a long time.  It made me happy to get the money, but when we parted ways i had told her it was important for her to try to take care of this in one way or another because it would be hard for me to be civil with her with this outstanding.  she took the initiative and took care of everything quickly, which was really nice to see.  ",bonding
I watched a video that was really funny.,leisure
I love play Soccer in the Stadium with my Friends,bonding
my relatives celebrate my wedding day in a restaurant. that was a nice experience.,affection
I was able to fix a small dent in my car myself without having to take it into the shop and pay lots of money,achievement
I drove a jet ski for the first time at the farmhouse of a childhood friend.,bonding
It was my birthday!,enjoy_the_moment
Just received the rent check early from my tenant.,achievement
"the happiest movement is change to person to person and time
to time, as far as regarding my happiest movement is
concerned when i completed my high school, it is definitely
an unforgettable movement for me all my family members was
waiting my result, it was just momentum movement,
",affection
An event that made me happy in the past 3 months was being invited to my boyfriends house to officially meet his parents after dating for 4 and a half years ,affection
I did fifty pushups this morning.  ,achievement
Remembered a password for an email I'd lost.,achievement
I was happy because I discovered a means of paying back my financial debts.,achievement
I got on the scale last night and somehow lost 4lbs in one week.,achievement
Succesfully finish one of my goal in a game,achievement
"I haven't spent anytime with my wife during the past week due to her being a nurse and working 18 hour shifts.  I finally got a chance to see her and we got to have breakfast this morning.  Even though it wasn't that long, we got the chance to talk and see how each of us were doing.",affection
I had watermelon for breakfast this morning. ,enjoy_the_moment
Went strawberry picking with the family,affection
I was on a date with my girlfriend.,affection
" Before   one month   when i got my job ,i have lot of happy , because   this is first job in my life  so i feel very happy.....",achievement
I took a really nice nap while the air conditioner was on and woke up feeling very refreshed.,enjoy_the_moment
I was listening to my daughter read tonight.  She is only in kindergarten but learning quickly.,affection
